frame_pos	peakXm1	peakX	peakXp1	peak.amp.m1	peak.amp	peak.amp.p1
0.0	-0.009643835616438362	-0.009242009132420091	-0.008840182648401827	3282.0	3337.0	3160.0
0.0	0.008840182648401827	0.009242009132420091	0.009643835616438355	1251.0	1258.0	1258.0
1.0	-0.014264840182648404	-0.01386301369863014	-0.013461187214611876	1875.977	2024.618	1962.6256
1.0	0.013461187214611876	0.01386301369863014	0.014264840182648404	1541.015	1645.9629	1586.3643
2.0	-0.017881278538812787	-0.017479452054794516	-0.01707762557077625	606.8373	1660.5878	1655.0897
2.0	0.01707762557077626	0.017479452054794523	0.017881278538812787	1677.677	1804.8737	1800.4347
3.0	-0.02049315068493151	-0.020091324200913245	-0.01968949771689498	1308.1274	1330.1182	1308.6147
3.0	0.019689497716894988	0.020091324200913252	0.020493150684931516	1698.1289	1918.281	1886.0613
4.0	-0.021899543378995436	-0.021497716894977172	-0.021095890410958905	2254.7849	2759.0677	2585.1306
4.0	0.021095890410958912	0.021497716894977176	0.02189954337899544	1645.2574	1896.8329	1890.0328
5.0	-0.023908675799086763	-0.0235068493150685	-0.02310502283105023	853.4382	1600.3756	1536.547
5.0	0.02310502283105023	0.023506849315068495	0.02390867579908676	1903.8522	2140.4073	2061.4084
6.0	-0.025114155251141558	-0.02471232876712329	-0.024310502283105027	0.0	1746.6142	1553.1085
6.0	0.024310502283105023	0.024712328767123287	0.02511415525114155	1861.6916	1926.1182	1673.7013
7.0	-0.026721461187214617	-0.02631963470319635	-0.025917808219178086	0.0	1606.3545	1385.259
7.0	0.025917808219178093	0.026319634703196357	0.02672146118721462	1775.6357	1822.6202	1621.6202
8.0	-0.02692237442922375	-0.026520547945205485	-0.02611872146118722	1240.8474	1653.4642	1283.1026
8.0	0.026118721461187225	0.02652054794520549	0.026922374429223753	1762.1634	1770.0301	1687.8339
9.0	-0.028127853881278548	-0.027726027397260284	-0.027324200913242017	625.8576	2118.563	1918.325
9.0	0.027324200913242017	0.02772602739726028	0.028127853881278544	1561.9183	1709.2789	1625.4218
10.0	-0.029333333333333343	-0.02893150684931508	-0.028529680365296815	0.0	1733.718	1690.8518
10.0	0.02852968036529681	0.028931506849315072	0.029333333333333336	1633.2816	1754.6384	1584.6384
