frame_pos	peakXm1	peakX	peakXp1	peak.amp.m1	peak.amp	peak.amp.p1
0.0	-0.004211229946524064	-0.0038101604278074908	-0.0034090909090909033	18862.0	18991.0	18369.0
0.0	0.0034090909090909033	0.0038101604278074908	0.004211229946524064	9127.0	9211.0	7309.0
1.0	-0.02005347593582888	-0.0196524064171123	-0.019251336898395727	17956.0424	23039.7076	21898.3432
1.0	0.019251336898395727	0.0196524064171123	0.020053475935828874	14263.0848	15631.0072	14260.612
2.0	-0.022459893048128343	-0.022058823529411763	-0.02165775401069519	20245.8068	28473.3728	27980.6324
2.0	0.021657754010695182	0.02205882352941177	0.022459893048128343	20190.012	26031.1992	25483.528
3.0	-0.02406417112299465	-0.02366310160427807	-0.023262032085561497	28204.9784	37703.9038	37324.5452
3.0	0.023262032085561504	0.023663101604278078	0.02406417112299465	31550.4438	32115.8698	24817.716
4.0	-0.024866310160427806	-0.024465240641711232	-0.02406417112299465	48270.4904	51843.36	42895.872
4.0	0.02406417112299465	0.024465240641711225	0.024866310160427813	38412.1024	45910.0632	42273.3488
5.0	-0.028275401069518716	-0.027874331550802142	-0.02747326203208556	52095.768	53654.211	43966.599
5.0	0.027473262032085555	0.027874331550802142	0.028275401069518716	38729.479	45409.677	40078.13
6.0	-0.033288770053475934	-0.032887700534759354	-0.03248663101604278	53077.7428	54552.4012	43551.3348
6.0	0.03248663101604278	0.03288770053475937	0.03328877005347594	35383.1128	46769.4752	45362.84
7.0	-0.03469251336898396	-0.03429144385026739	-0.03389037433155081	39565.3324	45421.9546	40197.8378
7.0	0.0338903743315508	0.034291443850267375	0.03469251336898395	41216.4002	49420.725	47341.5648
8.0	-0.03248663101604278	-0.0320855614973262	-0.031684491978609626	36115.5408	37276.0928	31287.4672
8.0	0.03168449197860963	0.03208556149732621	0.03248663101604278	38828.7312	44426.5376	41649.6016
9.0	-0.030481283422459884	-0.03008021390374331	-0.02967914438502673	44777.0488	44785.6754	36653.061
9.0	0.02967914438502675	0.030080213903743325	0.0304812834224599	39626.2722	46942.2594	44432.2314
10.0	-0.0304812834224599	-0.030080213903743325	-0.029679144385026744	44424.218	49080.946	46501.33
10.0	0.029679144385026737	0.03008021390374331	0.030481283422459884	42898.788	49207.226	45316.97
11.0	-0.029679144385026744	-0.029278074866310164	-0.02887700534759359	44937.6068	51702.9888	49022.047
11.0	0.028877005347593576	0.02927807486631015	0.029679144385026737	44733.6648	52066.6794	51940.935
12.0	-0.029478609625668437	-0.029077540106951863	-0.028676470588235282	44702.276	51970.1232	50491.44
12.0	0.028676470588235303	0.029077540106951877	0.029478609625668464	43381.3624	55242.6816	53424.2944
13.0	-0.02947860962566845	-0.029077540106951877	-0.028676470588235296	46531.9948	54351.5238	51290.7448
13.0	0.02867647058823529	0.029077540106951877	0.02947860962566845	42545.0262	54480.8284	54061.4638
14.0	-0.029478609625668457	-0.029077540106951877	-0.028676470588235303	54173.5676	57508.0924	46099.0552
14.0	0.02867647058823529	0.029077540106951863	0.02947860962566845	46445.6024	52773.7724	45185.1612
15.0	-0.032687165775401074	-0.03228609625668449	-0.03188502673796792	49251.826	56658.151	51716.608
15.0	0.031885026737967906	0.03228609625668449	0.03268716577540107	45572.24	46172.897	36741.38
16.0	-0.03629679144385027	-0.03589572192513369	-0.03549465240641711	51460.5856	53329.7456	45397.8576
16.0	0.03549465240641711	0.0358957219251337	0.03629679144385027	45810.7872	51779.8784	43278.5824
17.0	-0.03850267379679144	-0.038101604278074866	-0.037700534759358285	41418.6956	51067.7044	50186.4578
17.0	0.03770053475935829	0.038101604278074866	0.03850267379679145	44172.2698	49141.1816	44571.2574
18.0	-0.03729946524064171	-0.03689839572192514	-0.03649732620320856	43070.5632	46828.734	39206.318
18.0	0.03649732620320856	0.03689839572192513	0.037299465240641705	37483.0012	44588.7216	41429.5892
19.0	-0.036697860962566844	-0.03629679144385027	-0.03589572192513369	32398.8512	43247.1662	42992.3784
19.0	0.0358957219251337	0.03629679144385027	0.036697860962566844	43479.0122	44999.7022	32453.5424
20.0	-0.03589572192513368	-0.03549465240641711	-0.03509358288770053	40622.668	45389.616	40790.444
20.0	0.035093582887700536	0.035494652406417124	0.0358957219251337	40870.328	45555.376	39098.044
21.0	-0.0358957219251337	-0.03549465240641712	-0.03509358288770054	43964.7198	50638.4714	43943.1468
21.0	0.035093582887700536	0.03549465240641711	0.03589572192513368	41672.7174	49958.9618	44908.0518
22.0	-0.037098930481283425	-0.036697860962566844	-0.03629679144385027	46944.566	53964.6512	47954.504
22.0	0.03629679144385027	0.036697860962566844	0.03709893048128342	46826.5232	50107.502	40672.7784
23.0	-0.03609625668449198	-0.035695187165775404	-0.03529411764705882	39417.4592	40520.4138	30935.1872
23.0	0.03529411764705882	0.0356951871657754	0.036096256684491984	41811.6098	46202.2822	39501.5878
24.0	-0.03549465240641711	-0.03509358288770053	-0.03469251336898395	51980.4832	56316.944	49023.592
24.0	0.03469251336898396	0.035093582887700536	0.035494652406417124	40381.7936	47726.5856	43836.2672
25.0	-0.04191176470588236	-0.041510695187165776	-0.0411096256684492	47979.175	54281.655	52211.41
25.0	0.041109625668449196	0.04151069518716577	0.04191176470588236	40724.425	42720.915	35154.7
26.0	-0.04592245989304812	-0.04552139037433155	-0.045120320855614966	41040.378	53311.6892	51441.838
26.0	0.04512032085561497	0.04552139037433155	0.04592245989304815	41513.802	54409.9556	51874.2296
27.0	-0.042112299465240643	-0.04171122994652407	-0.04131016042780749	41740.8128	47795.0124	40160.9968
27.0	0.04131016042780748	0.04171122994652407	0.042112299465240643	55036.6184	58546.5266	50819.1818
