frame_pos	peakX	peak.amp
0.0	-0.013235579514824805	720.0
0.0	0.013235579514824791	1010.0
1.0	-0.026671698113207534	1143.3382
1.0	0.026671698113207548	451.6242
2.0	-0.02927870619946092	700.8748
2.0	0.029278706199460908	618.2004
3.0	-0.028276010781671176	1210.5866
3.0	0.028276010781671163	633.8142
4.0	-0.03148463611859839	478.4176
4.0	0.03148463611859839	527.3696
5.0	-0.03028140161725068	1910.359
5.0	0.03028140161725068	866.192
6.0	-0.03328948787061996	1128.574
6.0	0.03328948787061996	1656.4532
7.0	-0.03148463611859838	1821.3546
7.0	0.03148463611859839	3617.4576
8.0	-0.0014037735849056557	4771.6608
8.0	0.0014037735849056626	5635.2256
9.0	-0.038503504043126684	1315.2674
9.0	0.03850350404312669	1743.4218
10.0	-0.034492722371967655	1497.004
10.0	0.03449272237196766	3591.506
11.0	-0.026872237196765503	1456.5742
11.0	0.0268722371967655	4051.7398
12.0	-0.023463072776280326	2609.1832
12.0	0.023463072776280326	2419.008
13.0	-0.027072776280323452	3403.3536
13.0	0.027072776280323452	1922.9266
14.0	-0.030481940700808625	5775.324
14.0	0.030481940700808625	2730.5344
15.0	-0.029278706199460915	1516.347
15.0	0.02927870619946092	4043.116
16.0	-0.025869541778975748	1473.6672
16.0	0.02586954177897574	2189.0304
17.0	-0.027072776280323452	1193.8874
17.0	0.027072776280323452	1318.7058
18.0	-0.023463072776280326	1717.432
18.0	0.023463072776280326	1682.8732
19.0	-0.023262533692722378	1613.4616
19.0	0.023262533692722374	1729.9724
20.0	-0.02266091644204852	1741.176
20.0	0.022660916442048526	4283.372
21.0	-0.032487331536388143	2454.97
21.0	0.03248733153638815	4038.978
22.0	-0.03308894878706199	3075.4092
22.0	0.033088948787062	2245.4792
23.0	-0.02586954177897574	2251.0922
23.0	0.02586954177897574	2226.74
24.0	-0.028677088948787066	3119.3296
24.0	0.028677088948787066	3949.6016
25.0	-0.029880323450134777	2133.99
25.0	0.029880323450134777	2395.62
26.0	-0.028075471698113218	3964.2848
26.0	0.02807547169811321	1923.4512
27.0	-0.026270619946091645	1925.242
27.0	0.02627061994609166	3628.2808
